	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
	990	60	80	40	99.41209184078810
85					99.54769000817850
	1041	60	85	40	99.63824562330020
	1042	60	85	40	99.47829327370970
	1043	60	85	40	99.63774822179330
	1044	60	85	40	99.54460501724180
	1045	60	85	40	99.47865668086910
	1046	60	85	40	99.54652735421250
	1047	60	85	40	99.53402171035210
	1048	60	85	40	99.54460006883950
	1049	60	85	40	99.59819186338520
	1050	60	85	40	99.47601026808160
90					99.68207011539260
	1101	60	90	40	99.65034965034960
	1102	60	90	40	99.70197278193900
	1103	60	90	40	99.61938729339120
	1104	60	90	40	99.60915689558910
	1105	60	90	40	99.75124378109450
	1106	60	90	40	99.70157925315590
	1107	60	90	40	99.69094222997070
	1108	60	90	40	99.70015390330630
	1109	60	90	40	99.65320979483790
	1110	60	90	40	99.74270557029180
95					99.7750085236747
	1161	60	95	40	99.7884605214448
	1162	60	95	40	99.77273327871890
	1163	60	95	40	99.79137507592360
	1164	60	95	40	99.71500197915290
	1165	60	95	40	99.75428027901080
	1166	60	95	40	99.79707471340100
	1167	60	95	40	99.76025572722430
	1168	60	95	40	99.7491020494401
	1169	60	95	40	99.8076061460612
	1170	60	95	40	99.81419546636940
100					99.79779371088520
	1221	60	100	40	99.80191743918870
	1222	60	100	40	99.83897365503410
	1223	60	100	40	99.78042328042330
	1224	60	100	40	99.74839102682950
	1225	60	100	40	99.83304181904910
	1226	60	100	40	99.80785934251050
	1227	60	100	40	99.75923378135250
	1228	60	100	40	99.79072293305780
	1229	60	100	40	99.87571727001080
	1230	60	100	40	99.74165656139610
60					
probability-of-spread:					Average:
0					0.151700395677461
	31	60	0	60	0.15414053364515800
	32	60	0	60	0.15598149372108400
	33	60	0	60	0.13689614321442700
	34	60	0	60	0.15844930942509300
	35	60	0	60	0.1639084227779830
	36	60	0	60	0.17149038334696500
	37	60	0	60	0.14311839071320700
	38	60	0	60	0.15573445954863400
	39	60	0	60	0.12164484992727800
	40	60	0	60	0.15563997045478500
5					0.189731829481335
	91	60	5	60	0.18315504472699300
	92	60	5	60	0.17223105458399600
	93	60	5	60	0.17660393273235300
	94	60	5	60	0.1741195092995650
	95	60	5	60	0.18834390004509600
	96	60	5	60	0.2043144851009630
	97	60	5	60	0.23113094763688500
	98	60	5	60	0.17729558084149200
	99	60	5	60	0.20684717176270900
	100	60	5	60	0.18327666808329800
10					0.240703939947936
	151	60	10	60	0.253766851704996
	152	60	10	60	0.27283322737868200
	153	60	10	60	0.28182494948420700
	154	60	10	60	0.28714436248682800
	155	60	10	60	0.2571239231278990
	156	60	10	60	0.18578973909812400
	157	60	10	60	0.21685663660645800
	158	60	10	60	0.18304329371816600
	159	60	10	60	0.2253924480271530
	160	60	10	60	0.24326396784684900
15					0.316522729806781
	211	60	15	60	0.28931652289316500
	212	60	15	60	0.30302231825248300
	213	60	15	60	0.34056708379534300
	214	60	15	60	0.4779761276011410
	215	60	15	60	0.2691790040376850
	216	60	15	60	0.31478150460268800
	217	60	15	60	0.31240899102486000
	218	60	15	60	0.3405491024287220
	219	60	15	60	0.24594065689956100
	220	60	15	60	0.27148598653216600
20					0.627069074218571
	271	60	20	60	0.49949785929488900
	272	60	20	60	0.5089528229740780
	273	60	20	60	0.4848452734209410
	274	60	20	60	0.9822819571703940
	275	60	20	60	0.8028310357576720
	276	60	20	60	0.583837476554038
	277	60	20	60	0.8849324448892520
	278	60	20	60	0.5943536404160480
	279	60	20	60	0.27944743224717900
	280	60	20	60	0.6497107994612160
25					1.03832208834612
	331	60	25	60	1.2019485333050900
	332	60	25	60	1.1774355717838800
	333	60	25	60	1.310821590002660
	334	60	25	60	0.6574238528218860
	335	60	25	60	1.2300382737231100
	336	60	25	60	1.1159183242758400
	337	60	25	60	0.6715845694191060
	338	60	25	60	0.9142705710878490
	339	60	25	60	0.9607263513513510
	340	60	25	60	1.1430532456904500
30					1.6607286522467300
	391	60	30	60	2.4916020842701100
	392	60	30	60	1.2583982083822100
	393	60	30	60	1.2931262918013700
	394	60	30	60	2.9712138850672000
	395	60	30	60	1.2704126194320200
	396	60	30	60	1.4950342556694500
	397	60	30	60	1.7510086759315400
	398	60	30	60	1.1982252450915300
	399	60	30	60	1.2818479754730900
	400	60	30	60	1.5964172813487900
35					6.20414716135562
	451	60	35	60	2.424371311606150
	452	60	35	60	2.8049748610743600
	453	60	35	60	12.560284622479900
	454	60	35	60	3.038344168767410
	455	60	35	60	2.797147385103010
	456	60	35	60	9.354753752962870
	457	60	35	60	4.184788373819880
